election_ID,vest_ID
015-Century Baptist Church 4701,015-Century Baptist 4701
015-Century Baptist Church 4704,015-Century Baptist 4704
017-1604 Faith Journey Church,017-1604 Journey In Faith Church
017-4102 Northview Church (formerly First Assembly),017-4102 Northview Church
047-Precinct 01- American Legion,047-Precinct 01 - American Legion
047-Precinct 02-American Legion,047-Precinct 02 - American Legion
047-Precinct 04 -Lehr Com Cent.,047-Precinct 04 - Lehr Com Cent.
065-Precinct 02-Center /West Side,065-Precinct 02-Center/West Side
069-Precinct 04- 1ST WARD 1ST,069-Precinct 04 - 1ST WARD 1ST
069-Precinct 05- 1ST WARD 2ND,069-Precinct 05 - 1ST WARD 2ND
069-Precinct 06 -2ND WARD,069-Precinct 06 - 2ND WARD
069-Precinct 07-3RD WARD,069-Precinct 07 - 3RD WARD
079- Rolla #1,079-Rolla #1
099-Precinct 2 -District 10,099-Precinct 2 - District 10
