,join_col,G16PRERTRU_y,G16PREDCLI_y
556,025-Dodge/Loring,75.0,14.0
557,025-Dunn Center/Decorah,268.0,33.0
558,025-Killdeer City 36,22.0,1.0
559,025-Killdeer City 39,399.0,52.0
560,025-Killdeer Unorganized,146.0,12.0
561,025-Kyseth,78.0,11.0
562,025-Manning,263.0,29.0
563,025-New Hradec,197.0,23.0
564,025-North Fox,10.0,65.0
565,025-Oakdale,107.0,7.0
566,027-Precinct 01,434.0,194.0
567,027-Precinct 02,357.0,161.0
568,029-Precinct 1,379.0,53.0
569,029-Precinct 2,334.0,44.0
570,029-Precinct 3,343.0,43.0
571,029-Precinct 4,287.0,49.0
572,029-Precinct 5,334.0,26.0
573,031-Precinct 01,75.0,29.0
574,031-Precinct 02,36.0,21.0
575,031-Precinct 03,70.0,19.0
576,031-Precinct 04,330.0,45.0
577,031-Precinct 05,372.0,119.0
578,031-Precinct 06,358.0,114.0
579,033-Precinct #1,796.0,99.0
580,035-Alerus 01,450.0,191.0
581,035-Alerus 05,1209.0,862.0
582,035-Alerus 24,614.0,506.0
583,035-Alerus 25,376.0,356.0
584,035-Alerus 26,920.0,672.0
585,035-Alerus 27,762.0,656.0
586,035-Bible Baptist Church,351.0,130.0
587,035-Emerado Community Hall,414.0,147.0
588,035-First Presbyterian Church,962.0,660.0
589,035-Gilby Presbyterian Church,255.0,83.0
590,035-Gorecki Alumni Center,475.0,575.0
591,035-Grand Forks City Hall 08,380.0,307.0
592,035-Grand Forks City Hall 09,346.0,320.0
593,035-Holy Family,1112.0,871.0
594,035-Hope Evangelical Church,808.0,576.0
595,035-ICON Arena/Park District Office 04,1263.0,708.0
596,035-ICON Arena/Park District Office 23,96.0,98.0
597,035-Larimore Senior Citizens Center,818.0,259.0
598,035-Manvel Public School,355.0,132.0
599,035-Northwood Community Center,469.0,153.0
600,035-Public Works,562.0,363.0
601,035-St. Paul's Episcopal Church 10,653.0,628.0
602,035-St. Paul's Episcopal Church 11,64.0,101.0
603,035-Thompson Community Center,1081.0,375.0
604,035-UND Wellness Center 21,680.0,411.0
605,035-UND Wellness Center 22,617.0,517.0
606,035-Wesley United Church,248.0,194.0
607,037-Carson,117.0,29.0
608,037-Elgin,238.0,57.0
609,037-New Leipzig ,105.0,16.0
610,037-Rural Grant County,648.0,83.0
611,039-Precinct 01,175.0,57.0
612,039-Precinct 02,189.0,77.0
613,039-Precinct 03,141.0,57.0
614,039-Precinct 04,193.0,33.0
615,039-Precinct 05,149.0,74.0
616,041-Indian Creek #4,120.0,9.0
617,041-Mott #1,520.0,84.0
