election_ID,vest_ID
053-39-05 Alexander,053-39-03003903
077-HANKINSON,077-25-01002501
029-Precinct 3,029-28-03002803
035-Grand Forks City Hall 09,035-18-04001804
047-Precinct 02-American Legion,047-28-02002802
003-Precinct 2404-00,003-24-04002404
035-Bible Baptist Church,035-18-01001801
035-Manvel Public School,035-19-01001901
027-Precinct 02,027-23-02002302
031-Precinct 06,031-29-06002906
101-Afton Our Savior Lutheran,101-38-04003804
011-Bowman Four Seasons,011-39-02003902
057-Precinct 3323,057-33-23003323
079- Rolla #1,079-09-01000901
017-2502 Kindred City Hall,017-25-02025-02
059-Precinct 05,059-31-06003106
031-Precinct 05,031-29-05002905
003-Precinct 2402-00,003-24-02002402
035-Alerus 25,035-43-04004304
029-Precinct 1,029-28-01002801
003-Precinct 2411-00,003-24-11002411
035-Grand Forks City Hall 08,035-18-02001802
077-WYNDMERE,077-26-03002603
059-Precinct 38,059-36-01003601
059-Precinct 07,059-34-06003406
025-Killdeer City 39,025-39-03003903
101-Sawyer City Hall,101-04-06000406
057-Precinct 3382,057-33-82003382
035-Emerado Community Hall,035-20-01002001
067-Precinct 10-01,067-10-01001001
057-Precinct 3321,057-33-21003321
009-Precinct 01,009-06-05000605
023-Precinct 1,023-02-01000201
101-Berthold Sr Citizen Center,101-04-02000402
093-Precinct P5,093-29-05002905
027-Precinct 01,027-23-01002301
097-Precinct 11,097-20-04002004
015-Roosevelt School,015-32-02003202
049-Precinct 18,049-06-03000603
075-MOHALL,075-06-03000603
073-Precinct 3,073-26-01002601
015-South Central High School,015-32-01003201
035-Alerus 01,035-17-01001701
003-Precinct 2405-00,003-24-05002405
089-Richardton,089-36-07003607
059-Precinct 36,059-36-02003602
067-Precinct 10-02,067-10-02001002
105-Precinct 76,105-02-11000211
059-Precinct 18,059-31-04003104
059-Precinct 08,059-34-07003407
015-Myhre (Civic Center),015-32-04003204
035-Northwood Community Center,035-19-04001904
017-2701 West Acres-Main Entrance,017-27-01027-01
035-Gorecki Alumni Center,035-42-02004202
101-Ruthville Lynch Immanuel,101-40-01/40-02004001/004002
009-Precinct 03,009-06-03000603
093-Precinct P6,093-29-06002906
071-Precinct 02,071-15-04001504
067-Precinct 10-04,067-10-04001004
067-Precinct 10-03,067-10-03001003
055-LEGISLATIVE 4-McLEAN LESS 0402,055-04-01000401
017-2205 Mapleton Community Ctr,017-22-05022-05
045-Precinct 4,045-28-01002801
095-Cando,095-15-01001501
041-Mott #1,041-31-01003101
009-Precinct 05,009-06-01000601
009-Precinct 04,009-06-02000602
077-WAHPETON COMM CENTER,077-25-03/25-10002503/002510
089-Belfield,089-36-01003601
043-Steele,043-14-04001404
009-Precinct 02,009-06-04000604
093-Precinct P4,093-29-04002904
077-WAHPETON CITY HALL,077-25-08002508
101-SW Minot Dist 38,101-38-06 SW003806
015-Riverwood (Civic Center),015-32-07003207
045-Precinct 2,045-29-03002903
077-WAHPETON FAITH CHURCH,077-25-09002509
035-Public Works,035-42-01004201
059-Precinct 24,059-31-03003103
101-SE Minot Dist 38,101-38-06 SE003806
101-Sundre All Seasons Arena,101-03-01000301
059-Precinct 04,059-34-04003404
089-South Heart,089-36-02003602
093-Precinct J6,093-12-05001205
015-County 4-H Building 7,015-07-04000704
101-Kenmare Memorial Hall,101-04-01000401
101-Harrison Courthouse,101-38-05003805
035-Alerus 24,035-43-03004303
035-UND Wellness Center 22,035-42-04004204
005-Precinct 1,005-14-01001401
049-Precinct 47,049-06-05000605
011-Bowman City,011-39-01003901
101-NE Minot Dist 3,101-03-04 NE000304
059-Precinct 03,059-34-03003403
015-Liberty School 8,015-08-06000806
037-Rural Grant County,037-31-01/31-04003101/003104
083-Precinct 01,083-07-01000701
015-Highland Acres School,015-35-01003501
059-Precinct 06,059-34-05003405
035-St. Paul's Episcopal Church 10,035-18-05001805
015-Evangel Assembly of God 7,015-07-05000705
017-4502 Reiles Acres Community Cn,017-45-02045-02
093-Precinct J4,093-29-07002907
015-Simle Middle School,015-35-06003506
059-Precinct 33,059-33-01003301
015-County 4-H Building 28,015-28-03002803
015-Pioneer School,015-35-04003504
035-UND Wellness Center 21,035-42-03004203
101-Surrey City Hall,101-03-03000303
103-Precinct 05 Harvey,103-14-05001405
077-WAHPETON RICHLAND LEC,077-25-11002511
017-4503 Harwood Community Center,017-45-03045-03
017-1604 Journey In Faith Church,017-16-04016-04
021-Precinct 01,021-28-01002801
093-Precinct J5,093-12-04001204
101-SE Minot Dist 5,101-05-01 SE000501
093-Precinct J1,093-12-01001201
035-Alerus 27,035-43-02004302
015-Grimsrud School,015-47-03004703
015-ND State Capitol Building,015-35-02003502
061-Precinct 01,061-02-01000201
101-Burlington City Hall,101-38-02003802
093-Precinct J3,093-12-03001203
071-Precinct 03,071-15-02001502
033-Precinct #1,033-39-01003901
035-Hope Evangelical Church,035-18-07001807
101-Nedrose All Seasons Arena,101-03-02000302
035-Larimore Senior Citizens Center,035-19-03001903
021-Precinct 03,021-26-02002602
015-GracePoint Church 7,015-07-02000702
015-Liberty School 7,015-07-06000706
015-The Element,015-07-07000707
017-1302 West Fargo City Hall,017-13-02013-02
015-Northridge School,015-35-03003503
099-Precinct 2 -District 10,099-10-01001001
001-Adams County,001-39-01003901
035-Alerus 26,035-43-01004301
017-2204 Days Inn Casselton,017-22-04022-04
105-Precinct 64,105-02-08000208
015-Legacy High School,015-07-08000708
015-Wachter (Civic Center),015-32-05003205
035-First Presbyterian Church,035-17-04001704
017-1602 Lutheran Church of the Cross,017-16-02016-02
017-4601 The Bowler,017-46-01046-01
015-Robert Miller School,015-35-05003505
015-Senior Center,015-30-02003002
017-1601 Meadowridge Bible Chapel,017-16-01016-01
063-Precinct 1 Nelson County,063-23-01002301
015-Evangel Assembly of God 8,015-08-05000805
035-Thompson Community Center,035-20-02002002
035-Holy Family,035-17-03001703
093-Precinct J2,093-12-02001202
105-Precinct 43,105-02-01000201
017-2101 Robert D Johnson Rec Ctr,017-21-01021-01
089-Range 95/96,089-36-04003604
017-4603 Riverview Place,017-46-03046-03
053-39-11 Watford City,053-39-06003906
053-39-09 Ideal/Schafer,053-39-05003905
015-United Tribes Tech College,015-30-01003001
059-Precinct 32,059-33-02003302
105-Precinct 48,105-02-03000203
017-2102 Fargo Public Library,017-21-02021-02
035-Alerus 05,035-17-02001702
015-Moses (Civic Center),015-32-06003206
017-2208 Horace Senior Center,017-22-08022-08
015-County 4-H Building 8,015-08-04000804
059-Precinct 17,059-31-05003105
059-Precinct 01,059-34-01003401
105-Precinct 60,105-01-01000101
035-ICON Arena/Park District Office 04,035-17-05001705
015-Sunrise School,015-07-03000703
015-Lord of Life Church,015-30-03003003
019-Precinct 1,019-10-01001001
059-Precinct 02,059-34-02003402
017-1301 Westside Elem School,017-13-01013-01
017-1101 Olivet Lutheran Church,017-11-01011-01
015-Solheim School,015-30-04003004
015-Centennial (Century Baptist),015-47-04004704
015-City of Lincoln,015-07-01000701
017-1603 Scheels Arena,017-16-03016-03
017-4402 Knollbrook Covenant Chrch,017-44-02044-02
017-1102 Baymont Inn,017-11-02011-02
089-BAC,089-36-03003603
101-NW Minot Dist 38,101-38-06 NW003806
105-Precinct 59,105-01-02000102
071-Precinct 01,071-15-03001503
017-4401 El Zagal Shrine,017-44-01044-01
017-2702 Living Waters Church,017-27-02027-02
017-4602 Atonement Lutheran Church,017-46-02046-02
017-4102 First Assembly of God,017-41-02041-02
105-Precinct 74,105-01-04000104
017-1303 Cambria Suites,017-13-03013-03
101-SE Minot Dist 3,101-03-04 SE000304
015-GracePoint Church 47,015-47-02004702
017-2206 Triumph West,017-22-06022-06
017-4501 FargoDome,017-45-01045-01
017-4101 Bethel Evangelical Church,017-41-01041-01
015-Horizon (Century Baptist),015-47-01004701
099-Precinct 1 - District 19,099-19-01001901
101-NW Minot Dist 40,101-40-03 NW004003
017-2703 Calvary United Methodist,017-27-03027-03
055-LEGISLATIVE 8-McLEAN COUNTY,055-08-01000801
101-SW Minot Dist 5,101-05-01 SW000501
089-Armory,089-37-01003701
