election_ID,vest_ID
057-Precinct 0401,057-04-01000401
101-SW Minot Dist 3,101-03-04 SW000304
025-North Fox,025-04-05000405
085-Porcupine,085-31-03003103
085-Cannonball,085-31-01003101
101-NW Minot Dist 5,101-05-01 NW000501
053-04-02 Mandaree,053-04-02000402
025-Killdeer City 36,025-36-04003604
085-FY East,085-31-06003106
025-Antelope - Twin Buttes,025-04-01000401
055-WHITE SHIELD/ZIEGLER RURAL,055-04-02000402
085-FY West,085-31-05003105
031-Precinct 02,031-29-02002902
051-Precinct 3-Lehr/Rural Lehr,051-28-03002803
053-04-01 Four Bears,053-04-01000401
069-Precinct 05- 1ST WARD 2ND,069-14-05001405
085-Solen,085-31-02003102
013-Precinct 01,013-02-01000201
097-Precinct 6,097-20-03002003
043-Pettibone,043-14-03001403
003-Precinct 2410-00,003-24-10002410
065-Precinct 04-Fort Clark,065-33-04003304
047-Precinct 04 -Lehr Com Cent.,047-28-04002804
075-WHITE ASH,075-06-04000604
043-Robinson,043-14-02001402
013-Precinct 06,013-02-06000206
035-St. Paul's Episcopal Church 11,035-18-06001806
003-Precinct 2414-00,003-24-14002414
101-NW Minot Dist 3,101-03-04 NW000304
047-Precinct 05 - Fredonia Mini Ml,047-28-05002805
031-Precinct 03,031-29-03002903
097-Precinct 5,097-20-01002001
025-Dodge/Loring,025-04-04000404
065-Precinct 03-Hensler,065-33-03003303
031-Precinct 01,031-29-01002901
005-Precinct 4,005-23-03002303
025-Kyseth,025-36-03003603
003-Precinct 2407-00,003-24-07002407
043-Tuttle,043-14-01001401
005-Precinct 3,005-23-02002302
053-39-07 Bennie Pierre,053-39-07003907
069-Precinct 01,069-14-01001401
075-TOLLEY,075-06-02000602
069-Precinct 02,069-14-02001402
041-Regent #2,041-31-02003102
007-Precinct 03,007-39-03003903
091-Precinct 4,091-23-04002304
035-ICON Arena/Park District Office 23,035-43-05004305
065-Precinct 02-Center /West Side,065-33-02003302
091-Precinct 1,091-23-01002301
053-39-04 Sioux,053-39-02003902
091-Precinct 5,091-23-05002305
037-New Leipzig ,037-31-02003102
087-Marmarth Community Center,087-39-01003901
025-Oakdale,025-39-01003901
097-Precinct 4,097-20-02002002
095-Rocklake,095-15-03001503
021-Precinct 02,021-26-01002601
095-Egeland,095-15-02001502
091-Precinct 3,091-23-03002303
003-Precinct 2408-00,003-24-08002408
013-Precinct 05,013-02-05000205
015-Regan (Wilton County Shop),015-08-02000802
037-Carson,037-31-05003105
043-Dawson,043-14-05001405
105-Precinct 53,105-02-04000204
041-Indian Creek #4,041-36-02003602
051-Precinct 5-Rural Wishek,051-28-05002805
023-Precinct 4,023-02-04000204
087-Pierce Church,087-39-03003903
065-Precinct 05-Far West Oliver,065-33-05003305
077-BARRIE-HELENDALE,077-26-01002601
023-Precinct 3,023-02-03000203
077-CHRISTINE,077-25-07002507
091-Precinct 2,091-23-02002302
013-Precinct 04,013-02-04000204
085-Selfridge,085-31-04003104
097-Precinct 1,097-20-07002007
081-Cogswell #3,081-26-03002603
061-Precinct 06,061-02-03000203
007-Precinct 01,007-39-01003901
093-Precinct P2,093-29-02002902
087-Amidon Courthouse,087-39-02003902
049-Precinct 27,049-06-08000608
081-Rutland-Cayuga #5,081-26-05002605
065-Precinct 07-Center/ East Side,065-33-07003307
059-Precinct 34,059-33-03003303
049-Precinct 55,049-06-07000607
049-Precinct 62,049-06-06000606
101-Makoti Pioneer Sr Citizen Club,101-04-03000403
097-Precinct 8,097-20-09002009
051-Precinct 6-Zeeland/Rural,051-28-06002806
039-Precinct 03,039-23-04002304
069-Precinct 04- 1ST WARD 1ST,069-14-04001404
079-Turtle Mtn Reservation #3,079-09-03000903
053-39-03 Yellowstone,053-39-01003901
025-Killdeer Unorganized,025-39-02003902
017-2401 Tower City Community Ctr,017-24-01024-01
003-Precinct 2415-00,003-24-15002415
097-Precinct 3,097-20-05002005
005-Precinct 2,005-23-01002301
017-2201 Page Senior Ctr,017-22-01022-01
067-Precinct 10-05,067-10-05001005
077-MOORETON,077-25-04002504
039-Precinct 05,039-23-02002302
003-Precinct 2409-00,003-24-09002409
105-Precinct 45,105-02-02000202
003-Precinct 2413-00,003-24-13002413
053-39-08 Rhoades,053-39-08003908
049-Precinct 16,049-06-02000602
045-Precinct 3,045-29-01002901
105-Precinct 65,105-02-09000209
051-Precinct 2-Rural Ashley,051-28-02002802
061-Precinct 02,061-04-07000407
073-Precinct 1,073-24-01002401
065-Precinct 06-Hannover,065-33-06003306
057-Precinct 3316,057-33-02003302
077-BRIGHTWOOD-ELMA-BELFORD,077-26-05002605
075-SHERWOOD,075-06-01000601
003-Precinct 2412-00,003-24-12002412
049-Precinct 58,049-06-01000601
047-Precinct 03 - Gackle School,047-28-03002803
105-Precinct 67,105-02-10000210
039-Precinct 01,039-23-01002301
061-Precinct 09,061-04-01000401
065-Precinct 01-SouthEast Oliver,065-33-01003301
077-FAIRMOUNT,077-25-02002502
079-St John #2,079-09-02000902
025-Collins/Halliday,025-04-02000402
061-Precinct 04,061-04-03000403
017-2203 Buffalo Community Center,017-22-03022-03
039-Precinct 02,039-23-03002303
103-Precinct 02 Fessenden,103-14-02001402
011-Rhame,011-39-03003903
039-Precinct 04,039-23-05002305
101-Ryder City Building,101-04-04000404
097-Precinct 12,097-20-12002012
025-New Hradec,025-36-02003602
015-Wing Fire Hall,015-08-03000803
023-Precinct 2,023-02-02000202
077-WALCOTT,077-25-06002506
057-Precinct 3314,057-33-05003305
093-Precinct P1,093-29-01002901
101-North Central Lynch Immanuel,101-38-01003801
067-Precinct 10-06,067-10-06001006
089-Taylor,089-36-06003606
015-Sterling School,015-28-01002801
069-Precinct 07-3RD WARD,069-14-07001407
003-Precinct 2406-00,003-24-06002406
079-Dunseith #4,079-09-04000904
103-Precinct 06 Fessenden,103-14-06001406
057-Precinct 3320,057-33-06003306
017-2402 Alice Nu Tech Office,017-24-02024-02
077-ABERCROMBIE,077-25-05002505
053-39-12 Blue Buttes,053-39-09003909
101-South Prairie School,101-04-05000405
105-Precinct 75,105-01-03000103
097-Precinct 10,097-20-10002010
059-Precinct 23,059-31-02003102
097-Precinct 9,097-20-11002011
059-Precinct 20,059-31-01003101
103-Precinct 04 Sykeston,103-14-04001404
101-Des Lacs Community Hall,101-38-03003803
013-Precinct 02,013-02-02000202
097-Precinct 2,097-20-06002006
003-Precinct 2403-00,003-24-03002403
053-39-06 Arnegard,053-39-04003904
015-Wilton County Shop,015-08-01000801
103-Precinct 03 Bowdon,103-14-03001403
057-Precinct 3301,057-33-01003301
077-COLFAX,077-26-02002602
089-Gladstone,089-36-05003605
075-GLENBURN,075-06-05000605
037-Elgin,037-31-03003103
105-Precinct 55,105-02-05000205
003-Precinct 2401-00,003-24-01002401
049-Precinct 41,049-06-04000604
069-Precinct 03,069-14-03001403
047-Precinct 01- American Legion ,047-28-01002801
061-Precinct 03,061-04-02000402
057-Precinct 3324,057-33-24003324
081-Milnor #1,081-26-01002601
035-Wesley United Church,035-18-03001803
103-Precinct 01 Harvey,103-14-01001401
035-Gilby Presbyterian Church,035-19-02001902
061-Precinct 05,061-04-04/04-06000404/000406
017-2001 Northern Cass PSD,017-20-01020-01
045-Precinct 1,045-29-02002902
011-Scranton,011-39-04003904
025-Manning,025-36-01003601
043-Tappen,043-14-06001406
007-Precinct 02,007-39-02003902
025-Dunn Center/Decorah,025-04-03000403
093-Precinct P3,093-29-03002903
057-Precinct 3381,057-33-81003381
081-Forman-Havana #4,081-26-04002604
029-Precinct 4,029-28-04002804
073-Precinct 2,073-24-02002402
101-NE Minot Dist 40,101-40-03 NE004003
057-Precinct 3383,057-33-83003383
017-2501 Hickson Community Center,017-25-01025-01
081-Gwinner #2,081-26-02002602
017-2202 Arthur Community Hall,017-22-02022-02
105-Precinct 62,105-02-06000206
057-Precinct 3303,057-33-03003303
061-Precinct 08,061-04-05000405
071-Precinct 04,071-15-01001501
069-Precinct 06 -2ND WARD,069-14-06001406
017-4504 Argusville Fire Hall,017-45-04045-04
057-Precinct 3313,057-33-04003304
017-2207 Davenport Community Ctr,017-22-07022-07
015-Menoken School,015-28-02002802
013-Precinct 03,013-02-03000203
051-Precinct 4-City of Wishek,051-28-04002804
041-New England #3,041-36-01003601
073-Precinct 4,073-26-02002602
079-Rolette #5,079-09-05000905
069-Precinct 08 - 4TH WARD,069-14-08001408
051-Precinct 1-City of Ashley,051-28-01002801
097-Precinct 7,097-20-08002008
031-Precinct 04,031-29-04002904
015-Bismarck Civic Center,015-32-03003203
077-LIDGERWOOD,077-26-04002604
029-Precinct 5,029-28-05002805
029-Precinct 2,029-28-02002802
105-Precinct 63,105-02-07000207
061-Precinct 07,061-02-02000202
057-Precinct 3322,057-33-22003322
